item_id,user_id,rating,timestamp,model_attr,category,brand,year,user_attr,split
236,3688,2.0,2005-05-09,Male,Headphones,Philips,2005,,0
236,3810,3.0,2005-06-07,Male,Headphones,Philips,2005,,0
236,4145,2.0,2005-08-07,Male,Headphones,Philips,2005,,0
236,4874,4.0,2005-11-16,Male,Headphones,Philips,2005,,0
236,4877,2.0,2005-11-16,Male,Headphones,Philips,2005,,0
236,5227,4.0,2006-01-04,Male,Headphones,Philips,2005,,0
236,5285,4.0,2006-01-13,Male,Headphones,Philips,2005,,0
236,5388,2.0,2006-01-29,Male,Headphones,Philips,2005,,0
236,5448,3.0,2006-02-06,Male,Headphones,Philips,2005,,0
236,5506,4.0,2006-02-16,Male,Headphones,Philips,2005,Male,0
236,5714,1.0,2006-03-06,Male,Headphones,Philips,2005,,0
236,5774,4.0,2006-03-12,Male,Headphones,Philips,2005,,0
236,5809,4.0,2006-03-15,Male,Headphones,Philips,2005,,0
236,5828,5.0,2006-03-16,Male,Headphones,Philips,2005,,0
236,5848,4.0,2006-03-18,Male,Headphones,Philips,2005,,0
236,5922,5.0,2006-03-25,Male,Headphones,Philips,2005,,0
236,5930,3.0,2006-03-26,Male,Headphones,Philips,2005,,0
236,5946,1.0,2006-03-29,Male,Headphones,Philips,2005,,0
236,5948,1.0,2006-03-29,Male,Headphones,Philips,2005,,0
236,5975,5.0,2006-04-06,Male,Headphones,Philips,2005,,0
236,6093,3.0,2006-05-02,Male,Headphones,Philips,2005,,0
236,6205,4.0,2006-05-26,Male,Headphones,Philips,2005,,0
236,6248,1.0,2006-06-05,Male,Headphones,Philips,2005,,0
236,6296,2.0,2006-06-13,Male,Headphones,Philips,2005,,0
236,6303,4.0,2006-06-14,Male,Headphones,Philips,2005,,0
236,6419,5.0,2006-07-05,Male,Headphones,Philips,2005,,0
236,6509,4.0,2006-07-15,Male,Headphones,Philips,2005,,0
236,6519,5.0,2006-07-17,Male,Headphones,Philips,2005,,0
236,6528,4.0,2006-07-18,Male,Headphones,Philips,2005,,0
236,6591,2.0,2006-07-30,Male,Headphones,Philips,2005,,0
236,6619,4.0,2006-08-04,Male,Headphones,Philips,2005,,0
236,6684,1.0,2006-08-14,Male,Headphones,Philips,2005,,0
236,6692,2.0,2006-08-16,Male,Headphones,Philips,2005,,0
236,6723,5.0,2006-08-22,Male,Headphones,Philips,2005,,0
236,6780,2.0,2006-08-30,Male,Headphones,Philips,2005,Male,0
236,6895,1.0,2006-09-25,Male,Headphones,Philips,2005,,0
236,6925,2.0,2006-10-02,Male,Headphones,Philips,2005,,0
236,7053,2.0,2006-11-02,Male,Headphones,Philips,2005,,0
236,7181,4.0,2006-11-09,Male,Headphones,Philips,2005,,0
236,7213,5.0,2006-11-10,Male,Headphones,Philips,2005,,0
236,7378,5.0,2006-12-01,Male,Headphones,Philips,2005,,0
236,7406,1.0,2006-12-04,Male,Headphones,Philips,2005,,0
236,7486,3.0,2006-12-13,Male,Headphones,Philips,2005,,0
236,7495,2.0,2006-12-14,Male,Headphones,Philips,2005,,0
236,7768,4.0,2007-01-03,Male,Headphones,Philips,2005,,0
236,8008,5.0,2007-01-09,Male,Headphones,Philips,2005,,0
236,8009,3.0,2007-01-09,Male,Headphones,Philips,2005,,0
236,8320,4.0,2007-01-17,Male,Headphones,Philips,2005,,0
236,8349,2.0,2007-01-18,Male,Headphones,Philips,2005,,0
236,8363,4.0,2007-01-18,Male,Headphones,Philips,2005,,0
236,8814,3.0,2007-02-15,Male,Headphones,Philips,2005,,0
236,8860,5.0,2007-02-19,Male,Headphones,Philips,2005,,0
236,9062,2.0,2007-03-08,Male,Headphones,Philips,2005,,0
236,9266,5.0,2007-03-18,Male,Headphones,Philips,2005,,0
236,9611,5.0,2007-04-11,Male,Headphones,Philips,2005,,0
236,9679,5.0,2007-04-19,Male,Headphones,Philips,2005,,0
236,9780,5.0,2007-05-01,Male,Headphones,Philips,2005,,0
236,10283,5.0,2007-05-25,Male,Headphones,Philips,2005,,0
236,10309,5.0,2007-05-27,Male,Headphones,Philips,2005,,0
236,10498,4.0,2007-06-08,Male,Headphones,Philips,2005,,0
236,11107,5.0,2007-07-17,Male,Headphones,Philips,2005,,0
547,11349,1.0,2007-07-31,Male,Headphones,Philips,2007,,0
547,11464,5.0,2007-08-07,Male,Headphones,Philips,2007,,0
236,11696,5.0,2007-08-23,Male,Headphones,Philips,2005,,0
547,11795,4.0,2007-08-27,Male,Headphones,Philips,2007,,0
236,11911,3.0,2007-09-02,Male,Headphones,Philips,2005,,0
236,12122,2.0,2007-09-14,Male,Headphones,Philips,2005,,0
547,12169,5.0,2007-09-17,Male,Headphones,Philips,2007,,0
236,12295,4.0,2007-09-24,Male,Headphones,Philips,2005,,0
236,12489,5.0,2007-10-04,Male,Headphones,Philips,2005,,0
236,12490,3.0,2007-10-04,Male,Headphones,Philips,2005,,0
236,12680,5.0,2007-10-17,Male,Headphones,Philips,2005,,0
236,12805,2.0,2007-10-24,Male,Headphones,Philips,2005,,0
236,12553,3.0,2007-11-12,Male,Headphones,Philips,2005,Male,2
547,13389,4.0,2007-11-26,Male,Headphones,Philips,2007,,0
236,13479,3.0,2007-11-29,Male,Headphones,Philips,2005,,0
236,13481,5.0,2007-11-30,Male,Headphones,Philips,2005,,0
236,13636,4.0,2007-12-06,Male,Headphones,Philips,2005,,0
547,13660,4.0,2007-12-07,Male,Headphones,Philips,2007,,0
236,13675,4.0,2007-12-08,Male,Headphones,Philips,2005,,0
236,13681,5.0,2007-12-08,Male,Headphones,Philips,2005,,0
236,13744,2.0,2007-12-11,Male,Headphones,Philips,2005,,0
547,13857,1.0,2007-12-15,Male,Headphones,Philips,2007,,0
547,13927,4.0,2007-12-18,Male,Headphones,Philips,2007,,0
547,13975,5.0,2007-12-21,Male,Headphones,Philips,2007,,0
236,13995,3.0,2007-12-21,Male,Headphones,Philips,2005,,0
547,14381,3.0,2008-01-01,Male,Headphones,Philips,2007,,0
236,14469,5.0,2008-01-03,Male,Headphones,Philips,2005,Male,0
547,14515,1.0,2008-01-05,Male,Headphones,Philips,2007,,0
547,14614,1.0,2008-01-07,Male,Headphones,Philips,2007,,0
236,15180,2.0,2008-01-25,Male,Headphones,Philips,2005,,0
236,15183,4.0,2008-01-25,Male,Headphones,Philips,2005,,0
236,15245,5.0,2008-01-27,Male,Headphones,Philips,2005,,0
236,15353,1.0,2008-02-03,Male,Headphones,Philips,2005,,0
547,15414,3.0,2008-02-07,Male,Headphones,Philips,2007,,0
236,15506,4.0,2008-02-08,Male,Headphones,Philips,2005,,0
236,15541,2.0,2008-02-09,Male,Headphones,Philips,2005,,0
547,15595,5.0,2008-02-11,Male,Headphones,Philips,2007,,0
236,15627,3.0,2008-02-13,Male,Headphones,Philips,2005,,0
547,15668,1.0,2008-02-13,Male,Headphones,Philips,2007,,0
236,15835,4.0,2008-02-22,Male,Headphones,Philips,2005,,0
236,15896,3.0,2008-02-24,Male,Headphones,Philips,2005,,0
236,15930,5.0,2008-02-26,Male,Headphones,Philips,2005,,0
236,16126,3.0,2008-03-06,Male,Headphones,Philips,2005,,0
547,16252,3.0,2008-03-13,Male,Headphones,Philips,2007,,0
236,16265,5.0,2008-03-14,Male,Headphones,Philips,2005,,0
236,16287,4.0,2008-03-15,Male,Headphones,Philips,2005,,0
547,16308,2.0,2008-03-16,Male,Headphones,Philips,2007,,0
236,16440,4.0,2008-03-24,Male,Headphones,Philips,2005,,0
547,16605,3.0,2008-03-30,Male,Headphones,Philips,2007,Male,0
236,16611,4.0,2008-03-30,Male,Headphones,Philips,2005,,0
236,16660,2.0,2008-04-01,Male,Headphones,Philips,2005,,0
236,16747,5.0,2008-04-05,Male,Headphones,Philips,2005,,0
236,16766,4.0,2008-04-06,Male,Headphones,Philips,2005,,0
547,16881,3.0,2008-04-10,Male,Headphones,Philips,2007,,0
547,16930,4.0,2008-04-13,Male,Headphones,Philips,2007,,0
547,16989,5.0,2008-04-15,Male,Headphones,Philips,2007,,0
236,17307,4.0,2008-05-01,Male,Headphones,Philips,2005,Male,0
547,17319,2.0,2008-05-01,Male,Headphones,Philips,2007,Female,0
547,17393,4.0,2008-05-05,Male,Headphones,Philips,2007,,0
547,17428,4.0,2008-05-06,Male,Headphones,Philips,2007,Female,0
236,17482,5.0,2008-05-09,Male,Headphones,Philips,2005,,0
547,17741,5.0,2008-05-22,Male,Headphones,Philips,2007,,0
